nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Coquimbo;4;Combarbalá;4302;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;IVAN DAVID;GUZMAN;487;masculino
Coquimbo;4;Combarbalá;4302;R;CENTRO DEMOCRATICO;CARLOS AMABLE;CASTRO;475;masculino
Coquimbo;4;Combarbalá;4302;U;CHILE MUCHO MEJOR;JUAN ALEJANDRO;CASTILLO;557;masculino
Coquimbo;4;Combarbalá;4302;Y;REPUBLICANOS E INDEPENDIENTES;NELSON ALBERTO;PIZARRO;575;masculino
Coquimbo;4;Coquimbo;4102;A;POR CHILE, SEGUIMOS;IGNACIO HERNAN;PLAZA;2321;masculino
Coquimbo;4;Coquimbo;4102;A;POR CHILE, SEGUIMOS;SONIA ISABEL;ELGUEDA;2603;femenino
Coquimbo;4;Coquimbo;4102;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;MARIO;BURLE;3418;masculino
Coquimbo;4;Coquimbo;4102;G;VERDES LIBERALES POR UNA COMUNA SEGURA;CYNTHIA;SILVA;1961;femenino
Coquimbo;4;Coquimbo;4102;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;VICENTE IGNACIO;CORTES;3815;masculino
Coquimbo;4;Coquimbo;4102;P;PARTIDO DE LA GENTE E INDEPENDIENTES;BARBARA DANIELA;TORO;2615;femenino
Coquimbo;4;Coquimbo;4102;R;CENTRO DEMOCRATICO;FELIPE IGNACIO;CARRAZANA;1500;masculino
Coquimbo;4;Coquimbo;4102;U;CHILE MUCHO MEJOR;PABLO;GALLEGUILLOS;6275;masculino
Coquimbo;4;Coquimbo;4102;U;CHILE MUCHO MEJOR;FREDDY HAROLDO;BONILLA;2575;masculino
Coquimbo;4;Coquimbo;4102;Y;REPUBLICANOS E INDEPENDIENTES;ESTEBAN ANDRES;VILLALOBOS;5567;masculino
Coquimbo;4;Illapel;4201;A;POR CHILE, SEGUIMOS;JOSE LUIS;NUÑEZ;2181;masculino
Coquimbo;4;Illapel;4201;R;CENTRO DEMOCRATICO;RICARDO DEL TRANSITO;CASTILLO;1472;masculino
Coquimbo;4;Illapel;4201;U;CHILE MUCHO MEJOR;CRISTIAN ESTEBAN;VASQUEZ;1610;masculino
Coquimbo;4;Illapel;4201;U;CHILE MUCHO MEJOR;EDUARDO ANTONIO;CORTES;1681;masculino
Coquimbo;4;Illapel;4201;U;CHILE MUCHO MEJOR;MAXIMILIANO JAVIER;BRAVO;1402;masculino
Coquimbo;4;Illapel;4201;U;CHILE MUCHO MEJOR;JANET;ARAYA;1700;femenino
Coquimbo;4;La Higuera;4104;A;POR CHILE, SEGUIMOS;URBANO ENRIQUE;MORALES;175;masculino
Coquimbo;4;La Higuera;4104;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;IVANA PATRICIA;GODOY;270;femenino
Coquimbo;4;La Higuera;4104;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;ROQUER JAVIER;GONZALEZ;184;masculino
Coquimbo;4;La Higuera;4104;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;YUDIS YAEL;GONZALEZ;186;femenino
Coquimbo;4;La Higuera;4104;U;CHILE MUCHO MEJOR;IVONNE DEL CARMEN;VALENZUELA;451;femenino
Coquimbo;4;La Higuera;4104;U;CHILE MUCHO MEJOR;LUIS;RIVERA;248;masculino
Coquimbo;4;La Serena;4101;A;POR CHILE, SEGUIMOS;CAMILO ALEJANDRO;ARAYA;3701;masculino
Coquimbo;4;La Serena;4101;A;POR CHILE, SEGUIMOS;RAYEN ALFONSINA;POJOMOVSKY;5929;femenino
Coquimbo;4;La Serena;4101;A;POR CHILE, SEGUIMOS;GLADYS ANGELICA;MARIN;5024;femenino
Coquimbo;4;La Serena;4101;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;LUISA;JINETE;1791;femenino
Coquimbo;4;La Serena;4101;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;FRANCISCA MATILDE;BARAHONA;4294;femenino
